USPS,geoid,pop2019est
AR,05013,5189
AR,05147,6320
AR,05073,6624
AR,05039,7009
AR,05095,6701
AR,05129,7881
AR,05101,7753
AR,05025,7956
AR,05117,8062
AR,05099,8252
AR,05097,8986
AR,05077,8857
AR,05105,10455
AR,05127,10281
AR,05109,10718
AR,05011,10763
AR,05017,10118
AR,05049,12477
AR,05137,12506
AR,05041,11361
AR,05081,12259
AR,05065,13629
AR,05061,13202
AR,05079,13024
AR,05087,16576
AR,05021,14551
AR,05089,16694
AR,05133,17007
AR,05135,17442
AR,05141,16545
AR,05075,16406
AR,05053,18265
AR,05037,16419
AR,05121,17958
AR,05067,16719
AR,05047,17715
AR,05043,18219
AR,05001,17486
AR,05113,19964
AR,05029,20846
AR,05107,17782
AR,05003,19657
AR,05149,21341
AR,05083,21466
AR,05057,21532
AR,05019,22320
AR,05027,23457
AR,05111,23528
AR,05071,26578
AR,05023,24919
AR,05103,23382
AR,05015,28380
AR,05123,24994
AR,05059,33771
AR,05063,37825
AR,05009,37432
AR,05005,41932
AR,05139,38682
AR,05055,45325
AR,05091,43257
AR,05093,40651
AR,05035,47955
AR,05115,64072
AR,05033,63257
AR,05085,73309
AR,05145,78753
AR,05069,66824
AR,05051,99386
AR,05031,110332
AR,05125,122437
AR,05045,126007
AR,05131,127827
AR,05143,239187
AR,05007,279141
AR,05119,391911
