"geoid","USPS","pop2019est"
"46075","SD",793
"46119","SD",1305
"46063","SD",1306
"46069","SD",1319
"46021","SD",1485
"46055","SD",2018
"46073","SD",2018
"46017","SD",2026
"46095","SD",2052
"46097","SD",2211
"46089","SD",2297
"46049","SD",2312
"46107","SD",2315
"46111","SD",2379
"46003","SD",2763
"46137","SD",2791
"46105","SD",2897
"46043","SD",2929
"46117","SD",3017
"46059","SD",3256
"46071","SD",3290
"46061","SD",3399
"46007","SD",3425
"46025","SD",3685
"46085","SD",3848
"46045","SD",3909
"46031","SD",4150
"46053","SD",4186
"46039","SD",4318
"46091","SD",4891
"46077","SD",4944
"46015","SD",5258
"46129","SD",5457
"46123","SD",5458
"46037","SD",5486
"46087","SD",5548
"46041","SD",5833
"46057","SD",6025
"46115","SD",6483
"46101","SD",6507
"46047","SD",6747
"46009","SD",6929
"46051","SD",7149
"46067","SD",7308
"46125","SD",8300
"46033","SD",8719
"46023","SD",9349
"46121","SD",10195
"46019","SD",10225
"46109","SD",10287
"46079","SD",12717
"46027","SD",13957
"46102","SD",14335
"46127","SD",15368
"46065","SD",17608
"46005","SD",18346
"46035","SD",19871
"46135","SD",22717
"46081","SD",25478
"46093","SD",27717
"46029","SD",28026
"46011","SD",34601
"46013","SD",38915
"46083","SD",56826
"46103","SD",110685
"46099","SD",188674
