USPS,geoid,pop2019est
WI,55078,4556
WI,55037,4295
WI,55051,5687
WI,55091,7287
WI,55041,9004
WI,55011,13031
WI,55099,13351
WI,55107,14178
WI,55007,15036
WI,55077,15574
WI,55013,15414
WI,55129,15720
WI,55003,15562
WI,55113,16558
WI,55023,16131
WI,55065,16665
WI,55103,17252
WI,55047,18913
WI,55067,19189
WI,55053,20643
WI,55061,20434
WI,55119,20343
WI,55001,20220
WI,55125,22195
WI,55049,23678
WI,55137,24443
WI,55057,26687
WI,55029,27668
WI,55069,27593
WI,55121,29649
WI,55123,30822
WI,55019,34774
WI,55085,35595
WI,55045,36960
WI,55083,37930
WI,55093,42754
WI,55075,40350
WI,55115,40899
WI,55033,45368
WI,55031,43150
WI,55095,43783
WI,55081,46253
WI,55005,45244
WI,55015,50089
WI,55043,51439
WI,55135,50990
WI,55021,57532
WI,55111,64442
WI,55017,64658
WI,55097,70772
WI,55141,72999
WI,55071,78981
WI,55055,84769
WI,55109,90687
WI,55089,89221
WI,55027,87839
WI,55035,104646
WI,55039,103403
WI,55127,103868
WI,55063,118016
WI,55117,115340
WI,55131,136034
WI,55073,135692
WI,55105,163354
WI,55059,169561
WI,55139,171907
WI,55087,187885
WI,55101,196311
WI,55009,264542
WI,55133,404198
WI,55025,546695
WI,55079,945726
