"place","date","amount"
"36001",2020-03-07,10.05
"36001",2020-03-08,10.05
"36001",2020-03-09,30.05
"36001",2020-03-10,30.05
"36001",2020-03-11,40.05
"36003",2020-03-11,20.05
"36003",2020-03-24,40.05
"36003",2020-03-25,10.05
"36003",2020-03-27,20.05
"36003",2020-03-28,30.05
"36005",2020-03-03,10.05
"36005",2020-03-04,10.05
"36005",2020-03-05,10.05
"36005",2020-03-07,70.05
"36005",2020-03-08,30.05
"36007",2020-03-07,10.05
"36007",2020-03-14,10.05
"36007",2020-03-17,10.05
"36007",2020-03-18,40.05
"36007",2020-03-19,20.05
"36009",2020-03-23,10.05
"36009",2020-03-24,30.05
"36009",2020-03-25,20.05
"36009",2020-03-27,10.05
"36009",2020-03-28,10.05
"36011",2020-03-18,20.05
"36011",2020-03-25,10.05
"36011",2020-03-28,10.05
"36011",2020-03-29,20.05
"36011",2020-03-30,10.05
"36013",2020-03-20,10.05
"36013",2020-03-23,40.05
"36013",2020-03-26,10.05
"36013",2020-03-28,20.05
"36013",2020-03-29,10.05
"36015",2020-03-19,10.05
"36015",2020-03-21,60.05
"36015",2020-03-22,40.05
"36015",2020-03-23,10.05
"36015",2020-03-24,30.05
"36017",2020-03-13,10.05
"36017",2020-03-14,10.05
"36017",2020-03-17,10.05
"36017",2020-03-22,10.05
"36017",2020-03-23,40.05
"36019",2020-03-12,10.05
"36019",2020-03-14,10.05
"36019",2020-03-17,20.05
"36019",2020-03-18,20.05
"36019",2020-03-19,20.05
"36021",2020-03-15,10.05
"36021",2020-03-17,40.05
"36021",2020-03-18,50.05
"36021",2020-03-19,10.05
"36021",2020-03-20,10.05
"36023",2020-03-17,10.05
"36023",2020-03-18,10.05
"36023",2020-03-22,20.05
"36023",2020-03-23,10.05
"36023",2020-03-24,10.05
"36025",2020-03-07,10.05
"36025",2020-03-17,20.05
"36025",2020-03-20,20.05
"36025",2020-03-21,20.05
"36025",2020-03-22,10.05
"36027",2020-03-07,10.05
"36027",2020-03-08,20.05
"36027",2020-03-09,10.05
"36027",2020-03-10,30.05
"36027",2020-03-11,30.05
"36029",2020-03-09,30.05
"36029",2020-03-11,30.05
"36029",2020-03-12,10.05
"36029",2020-03-14,210.05
"36029",2020-03-15,30.05
"36031",2020-03-13,10.05
"36031",2020-03-17,20.05
"36031",2020-03-20,10.05
"36031",2020-03-27,20.05
"36031",2020-03-30,10.05
"36033",2020-03-20,10.05
"36033",2020-03-22,10.05
"36033",2020-03-23,20.05
"36033",2020-03-24,20.05
"36033",2020-03-26,30.05
"36035",2020-03-14,10.05
"36035",2020-03-27,10.05
"36035",2020-03-28,40.05
"36035",2020-03-30,30.05
"36035",2020-04-01,20.05
"36037",2020-03-14,10.05
"36037",2020-03-20,10.05
"36037",2020-03-21,20.05
"36037",2020-03-22,20.05
"36037",2020-03-23,10.05
"36039",2020-03-10,20.05
"36039",2020-03-18,20.05
"36039",2020-03-21,10.05
"36039",2020-03-22,10.05
"36039",2020-03-23,10.05
"36041",2020-03-13,10.05
"36041",2020-03-14,10.05
"36041",2020-04-04,10.05
"36041",2020-05-01,20.05
"36041",2020-06-09,10.05
"36043",2020-03-07,10.05
"36043",2020-03-15,10.05
"36043",2020-03-17,20.05
"36043",2020-03-20,10.05
"36043",2020-03-21,20.05
"36045",2020-03-14,10.05
"36045",2020-03-18,10.05
"36045",2020-03-21,10.05
"36045",2020-03-23,30.05
"36045",2020-03-24,10.05
"36047",2020-02-29,10.05
"36047",2020-03-02,20.05
"36047",2020-03-04,10.05
"36047",2020-03-05,60.05
"36047",2020-03-06,40.05
"36049",2020-03-24,20.05
"36049",2020-03-31,10.05
"36049",2020-04-01,30.05
"36049",2020-04-09,10.05
"36049",2020-04-11,10.05
"36051",2020-03-15,10.05
"36051",2020-03-17,10.05
"36051",2020-03-18,10.05
"36051",2020-03-23,20.05
"36051",2020-03-24,50.05
"36053",2020-03-17,10.05
"36053",2020-03-18,30.05
"36053",2020-03-19,10.05
"36053",2020-03-20,20.05
"36053",2020-03-21,20.05
"36055",2020-03-07,10.05
"36055",2020-03-09,10.05
"36055",2020-03-11,80.05
"36055",2020-03-13,40.05
"36055",2020-03-14,130.05
"36057",2020-03-10,10.05
"36057",2020-03-13,10.05
"36057",2020-03-17,10.05
"36057",2020-03-20,10.05
"36057",2020-03-21,10.05
"36059",2020-02-29,10.05
"36059",2020-03-02,30.05
"36059",2020-03-03,10.05
"36059",2020-03-04,140.05
"36059",2020-03-06,90.05
"36061",2020-02-26,10.05
"36061",2020-02-29,20.05
"36061",2020-03-01,10.05
"36061",2020-03-02,40.05
"36061",2020-03-04,30.05
"36063",2020-03-14,10.05
"36063",2020-03-15,20.05
"36063",2020-03-17,30.05
"36063",2020-03-18,40.05
"36063",2020-03-19,10.05
"36065",2020-03-14,20.05
"36065",2020-03-17,30.05
"36065",2020-03-18,20.05
"36065",2020-03-19,10.05
"36065",2020-03-20,10.05
"36067",2020-03-11,10.05
"36067",2020-03-12,10.05
"36067",2020-03-14,30.05
