"place","date","amount"
"46003",2020-03-22,10.05
"46003",2020-05-05,10.05
"46003",2020-05-12,10.05
"46003",2020-05-15,50.05
"46003",2020-05-16,120.05
"46005",2020-03-05,10.05
"46005",2020-03-14,30.05
"46005",2020-03-17,60.05
"46005",2020-03-18,20.05
"46005",2020-03-19,10.05
"46007",2020-06-10,10.05
"46007",2020-06-12,10.05
"46007",2020-06-18,10.05
"46007",2020-06-20,10.05
"46007",2020-07-14,10.05
"46009",2020-03-07,10.05
"46009",2020-04-01,10.05
"46009",2020-04-03,10.05
"46009",2020-04-07,10.05
"46009",2020-05-17,10.05
"46011",2020-03-19,10.05
"46011",2020-03-27,10.05
"46011",2020-03-30,10.05
"46011",2020-04-01,10.05
"46011",2020-04-02,20.05
"46013",2020-03-17,10.05
"46013",2020-03-20,10.05
"46013",2020-03-25,10.05
"46013",2020-03-27,10.05
"46013",2020-03-28,20.05
"46015",2020-05-29,20.05
"46015",2020-06-06,10.05
"46015",2020-06-07,40.05
"46015",2020-06-08,20.05
"46015",2020-06-09,10.05
"46017",2020-04-23,10.05
"46017",2020-05-14,20.05
"46017",2020-05-15,20.05
"46017",2020-05-17,20.05
"46017",2020-05-18,20.05
"46019",2020-07-03,10.05
"46019",2020-07-05,10.05
"46019",2020-07-06,10.05
"46019",2020-07-12,10.05
"46019",2020-07-13,10.05
"46021",2020-06-28,10.05
"46021",2020-07-26,10.05
"46021",2020-07-31,10.05
"46021",2020-08-15,10.05
"46021",2020-09-06,10.05
"46023",2020-03-05,10.05
"46023",2020-03-30,10.05
"46023",2020-04-05,10.05
"46023",2020-04-07,10.05
"46023",2020-04-24,10.05
"46025",2020-03-24,10.05
"46025",2020-05-03,10.05
"46025",2020-05-07,10.05
"46025",2020-05-09,10.05
"46025",2020-06-04,10.05
"46027",2020-03-24,20.05
"46027",2020-03-25,10.05
"46027",2020-04-02,20.05
"46027",2020-04-24,10.05
"46027",2020-04-28,10.05
"46029",2020-03-19,10.05
"46029",2020-03-23,10.05
"46029",2020-03-24,20.05
"46029",2020-03-25,10.05
"46029",2020-03-28,10.05
"46031",2020-04-04,10.05
"46031",2020-05-07,10.05
"46031",2020-05-10,10.05
"46031",2020-05-13,10.05
"46031",2020-06-05,20.05
"46033",2020-05-30,10.05
"46033",2020-06-07,10.05
"46033",2020-06-14,10.05
"46033",2020-06-15,30.05
"46033",2020-06-16,10.05
"46035",2020-03-05,10.05
"46035",2020-03-18,10.05
"46035",2020-03-28,10.05
"46035",2020-04-16,10.05
"46035",2020-04-17,10.05
"46037",2020-04-24,10.05
"46037",2020-04-26,30.05
"46037",2020-04-27,40.05
"46037",2020-05-01,20.05
"46037",2020-05-12,10.05
"46039",2020-03-23,10.05
"46039",2020-06-21,20.05
"46039",2020-06-29,10.05
"46039",2020-07-06,10.05
"46039",2020-07-18,10.05
"46041",2020-06-01,10.05
"46041",2020-06-06,10.05
"46041",2020-06-11,20.05
"46041",2020-06-26,10.05
"46041",2020-06-27,10.05
"46043",2020-04-22,10.05
"46043",2020-05-18,10.05
"46043",2020-05-20,10.05
"46043",2020-06-02,10.05
"46043",2020-06-27,10.05
"46045",2020-05-24,10.05
"46045",2020-05-29,20.05
"46045",2020-06-03,10.05
"46045",2020-06-16,10.05
"46045",2020-06-18,10.05
"46047",2020-03-24,10.05
"46047",2020-04-28,10.05
"46047",2020-05-14,10.05
"46047",2020-05-15,10.05
"46047",2020-05-28,10.05
"46049",2020-03-22,10.05
"46049",2020-06-02,10.05
"46049",2020-06-04,40.05
"46049",2020-06-05,90.05
"46049",2020-06-07,40.05
"46051",2020-05-01,20.05
"46051",2020-05-05,10.05
"46051",2020-05-08,10.05
"46051",2020-05-09,10.05
"46051",2020-05-10,20.05
"46053",2020-05-26,10.05
"46053",2020-06-21,10.05
"46053",2020-06-24,10.05
"46053",2020-06-26,10.05
"46053",2020-07-04,10.05
"46055",2020-07-01,10.05
"46055",2020-07-27,10.05
"46055",2020-08-14,10.05
"46055",2020-08-22,20.05
"46055",2020-08-23,10.05
"46057",2020-03-23,10.05
"46057",2020-04-11,10.05
"46057",2020-05-12,10.05
"46057",2020-05-19,10.05
"46057",2020-05-30,10.05
"46059",2020-04-21,10.05
"46059",2020-05-23,10.05
"46059",2020-05-29,10.05
"46059",2020-05-31,10.05
"46059",2020-06-01,10.05
"46061",2020-05-29,10.05
"46061",2020-05-31,10.05
"46061",2020-06-03,10.05
"46061",2020-06-16,10.05
"46061",2020-06-17,10.05
"46063",2020-08-08,20.05
"46063",2020-09-04,10.05
"46063",2020-09-18,10.05
"46063",2020-09-29,10.05
"46063",2020-10-03,10.05
"46065",2020-03-18,10.05
"46065",2020-03-27,10.05
"46065",2020-03-28,10.05
"46065",2020-04-04,10.05
"46065",2020-04-07,10.05
"46067",2020-03-23,20.05
"46067",2020-04-21,10.05
"46067",2020-05-21,10.05
"46067",2020-05-25,10.05
"46067",2020-05-28,10.05
"46069",2020-04-08,10.05
"46069",2020-06-03,10.05
"46069",2020-06-04,10.05
"46069",2020-08-07,10.05
"46069",2020-08-18,10.05
"46071",2020-05-19,10.05
"46071",2020-05-21,10.05
"46071",2020-05-23,10.05
"46071",2020-05-25,10.05
"46071",2020-06-08,10.05
"46073",2020-04-04,10.05
"46073",2020-04-06,20.05
"46073",2020-04-11,10.05
"46073",2020-04-18,10.05
"46073",2020-04-19,10.05
"46075",2020-07-03,10.05
"46075",2020-07-26,10.05
"46075",2020-08-17,10.05
"46075",2020-08-28,20.05
"46075",2020-09-01,10.05
"46077",2020-05-24,10.05
"46077",2020-05-28,10.05
"46077",2020-05-29,10.05
"46077",2020-06-15,10.05
"46077",2020-06-16,10.05
"46079",2020-03-28,10.05
"46079",2020-04-03,10.05
"46079",2020-04-11,10.05
"46079",2020-04-19,10.05
"46079",2020-05-03,10.05
"46081",2020-03-22,20.05
"46081",2020-03-24,10.05
"46081",2020-03-25,20.05
"46081",2020-03-27,10.05
"46081",2020-03-28,30.05
"46083",2020-03-20,10.05
"46083",2020-03-21,10.05
"46083",2020-03-23,10.05
"46083",2020-03-24,10.05
"46083",2020-03-27,70.05
"46085",2020-03-18,10.05
"46085",2020-04-02,10.05
