"ori","dest","amount"
"36001","36005",65
"36001","36007",30
"36001","36019",4
"36001","36021",309
"36001","36023",20
"36001","36027",175
"36001","36029",25
"36001","36035",50
"36001","36039",148
"36001","36045",15
"36001","36047",20
"36001","36051",20
"36001","36053",95
"36001","36055",50
"36001","36057",35
"36001","36059",48
"36001","36061",326
"36001","36065",14
"36001","36067",138
"36001","36071",27
"36001","36075",20
"36001","36077",15
"36001","36081",62
"36001","36083",9493
"36001","36087",20
"36001","36091",4348
"36001","36093",7137
"36001","36095",94
"36001","36097",60
"36001","36103",60
"36001","36109",30
"36001","36111",253
"36001","36113",169
"36001","36115",4
"36001","36119",119
"36003","36001",4
"36003","36005",10
"36003","36007",8
"36003","36009",1354
"36003","36013",32
"36003","36015",49
"36003","36023",4
"36003","36027",4
"36003","36029",390
"36003","36035",4
"36003","36037",38
"36003","36047",4
"36003","36051",505
"36003","36053",14
"36003","36055",254
"36003","36059",4
"36003","36061",4
"36003","36063",28
"36003","36065",18
"36003","36069",63
"36003","36071",4
"36003","36073",4
"36003","36091",4
"36003","36099",35
"36003","36101",743
"36003","36103",10
"36003","36107",23
"36003","36109",28
"36003","36117",10
"36003","36121",502
"36003","36123",8
"36005","36001",125
"36005","36007",20
"36005","36013",34
"36005","36027",220
"36005","36029",70
"36005","36037",25
"36005","36047",19982
"36005","36053",10
"36005","36059",2620
"36005","36061",191402
"36005","36063",30
"36005","36065",20
"36005","36067",59
"36005","36071",378
"36005","36073",20
"36005","36075",15
"36005","36079",228
"36005","36081",21643
"36005","36085",624
"36005","36087",1519
"36005","36091",10
"36005","36097",75
"36005","36103",877
"36005","36109",15
"36005","36111",40
"36005","36115",20
"36005","36119",37527
"36007","36001",72
"36007","36005",34
"36007","36011",4
"36007","36015",170
"36007","36017",401
"36007","36023",590
"36007","36025",219
"36007","36027",40
"36007","36029",44
"36007","36047",8
"36007","36051",10
"36007","36053",39
"36007","36055",158
"36007","36059",10
"36007","36061",69
"36007","36065",22
"36007","36067",449
"36007","36069",20
"36007","36071",30
"36007","36075",24
"36007","36077",73
"36007","36081",95
"36007","36083",19
"36007","36087",34
"36007","36093",15
"36007","36099",10
"36007","36101",30
"36007","36103",10
"36007","36105",4
"36007","36107",3444
"36007","36109",472
"36007","36115",14
"36007","36119",34
"36007","36121",35
"36009","36001",12
"36009","36003",311
"36009","36005",8
"36009","36013",2036
"36009","36015",4
"36009","36017",4
"36009","36027",10
"36009","36029",5001
"36009","36037",50
"36009","36051",8
"36009","36055",91
"36009","36061",19
"36009","36063",83
"36009","36067",16
"36009","36069",10
"36009","36073",4
"36009","36081",4
"36009","36097",20
"36009","36099",14
"36009","36101",22
"36009","36103",4
"36009","36111",12
"36009","36117",4
"36009","36121",1300
"36011","36001",51
"36011","36003",4
"36011","36007",12
"36011","36015",12
"36011","36023",616
"36011","36029",50
"36011","36045",15
"36011","36047",8
"36011","36051",4
"36011","36053",86
"36011","36055",242
"36011","36061",28
"36011","36065",64
"36011","36067",8120
"36011","36069",234
"36011","36075",563
"36011","36079",15
"36011","36081",4
"36011","36083",12
"36011","36089",15
"36011","36091",4
"36011","36097",4
"36011","36099",708
"36011","36103",4
"36011","36109",1978
"36011","36113",10
"36011","36117",768
"36011","36119",4
"36011","36123",4
"36013","36003",50
"36013","36007",15
"36013","36009",372
"36013","36027",22
"36013","36029",2457
"36013","36051",34
"36013","36053",4
"36013","36055",50
"36013","36059",14
"36013","36061",4
"36013","36063",122
"36013","36065",4
"36013","36067",45
"36013","36069",19
"36013","36083",4
"36013","36099",4
"36013","36101",25
"36013","36103",4
"36013","36119",10
"36013","36121",4
"36015","36001",14
"36015","36003",4
"36015","36007",293
"36015","36011",4
"36015","36013",10
"36015","36023",10
"36015","36027",10
"36015","36029",85
"36015","36043",40
"36015","36055",30
"36015","36059",10
"36015","36061",8
"36015","36065",40
"36015","36067",143
"36015","36069",19
"36015","36071",19
"36015","36093",10
"36015","36097",745
"36015","36099",158
"36015","36101",1547
"36015","36107",574
"36015","36109",1269
"36015","36111",39
"36015","36119",15
"36015","36123",60
"36017","36001",24
"36017","36007",2427
"36017","36011",8
"36017","36023",349
"36017","36025",194
"36017","36047",56
"36017","36051",4
"36017","36053",595
"36017","36055",15
"36017","36059",42
"36017","36061",45
"36017","36065",167
"36017","36067",274
"36017","36071",18
"36017","36075",4
"36017","36077",268
"36017","36079",4
"36017","36081",15
"36017","36085",4
"36017","36087",32
"36017","36091",10
"36017","36103",4
"36017","36107",31
"36017","36109",43
"36017","36111",4
"36017","36119",8
"36019","36001",56
"36019","36007",10
"36019","36013",4
"36019","36015",10
"36019","36023",19
"36019","36027",118
"36019","36031",153
"36019","36033",105
"36019","36061",15
"36019","36075",10
"36019","36083",4
"36019","36089",20
"36019","36093",10
"36019","36111",30
"36019","36113",19
"36019","36115",14
"36019","36119",15
"36021","36001",2614
"36021","36005",26
"36021","36019",4
"36021","36027",2558
"36021","36029",8
"36021","36039",158
"36021","36047",74
"36021","36055",4
"36021","36059",22
"36021","36061",1104
"36021","36067",4
"36021","36071",12
"36021","36079",59
"36021","36081",76
"36021","36083",1090
"36021","36091",108
"36021","36093",124
"36021","36103",44
"36021","36111",581
"36021","36113",24
"36021","36119",232
"36023","36001",64
"36023","36007",526
"36023","36011",214
"36023","36015",18
"36023","36017",69
"36023","36053",114
"36023","36055",72
"36023","36059",93
"36023","36061",8
"36023","36063",20
"36023","36065",8
"36023","36067",1986
"36023","36069",10
"36023","36071",4
"36023","36075",53
"36023","36081",12
"36023","36097",15
"36023","36099",8
"36023","36103",10
"36023","36107",63
"36023","36109",3222
"36023","36111",4
"36023","36117",4
"36023","36119",35
"36025","36001",29
"36025","36005",4
"36025","36007",776
"36025","36017",257
"36025","36023",4
"36025","36027",4
"36025","36039",4
"36025","36047",70
"36025","36059",15
"36025","36061",201
"36025","36065",8
"36025","36069",20
"36025","36071",103
"36025","36075",19
"36025","36077",1163
"36025","36081",76
"36025","36085",8
"36025","36087",37
"36025","36089",4
"36025","36095",4
"36025","36103",12
"36025","36105",73
"36025","36107",95
"36025","36109",4
"36025","36111",367
"36025","36115",4
"36025","36119",96
"36027","36001",314
"36027","36005",1398
"36027","36007",45
"36027","36021",211
"36027","36029",10
"36027","36039",39
"36027","36047",380
"36027","36055",15
"36027","36057",10
"36027","36059",168
"36027","36061",5423
"36027","36065",45
"36027","36067",35
"36027","36071",4541
"36027","36075",4
"36027","36079",5492
"36027","36081",541
