"ori","dest","amount"
"02013","02020",4
"02016","02020",4
"02020","02050",35
"02020","02090",118
"02020","02110",74
"02020","02170",939
"02020","02185",10
"02060","02020",4
"02060","02164",4
"02068","02090",14
"02068","02185",4
"02090","02020",225
"02090","02068",25
"02090","02170",25
"02090","02195",10
"02090","02220",4
"02100","02110",4
"02100","02170",4
"02105","02110",121
"02110","02020",19
"02122","02020",405
"02122","02090",29
"02122","02110",4
"02122","02150",4
"02122","02170",59
"02122","02195",10
"02130","02220",15
"02150","02020",4
"02164","02020",4
"02170","02016",4
"02170","02020",10981
"02170","02090",74
"02170","02110",10
"02180","02020",22
"02180","02090",20
"02185","02020",25
"02185","02090",10
"02188","02020",26
"02188","02090",4
"02195","02110",4
"02195","02275",4
"02198","02110",4
"02220","02110",60
"02220","02195",65
"02230","02020",105
"02240","02090",37
"02261","02020",34
"02261","02090",50
"02275","02110",15
"02275","02195",10
"02290","02020",16
"02290","02068",10
"02290","02090",24
