ori,dest,amount
05001,05041,60
05001,05051,16
05001,05069,336
05001,05079,58
05001,05085,86
05001,05095,324
05001,05107,4
05001,05115,8
05001,05119,294
05003,05011,76
05003,05017,448
05003,05027,14
05003,05031,12
05003,05041,82
05003,05043,534
05003,05069,4
05003,05079,22
05003,05103,30
05003,05107,80
05003,05119,160
05003,05139,196
05005,05009,32
05005,05017,114
05005,05021,172
05005,05023,62
05005,05049,304
05005,05051,4
05005,05065,534
05005,05089,2230
05005,05093,6
05005,05107,50
05005,05119,172
05005,05121,26
05005,05129,4
05005,05135,8
05005,05137,48
05005,05143,24
05005,05149,68
05007,05005,16
05007,05015,278
05007,05031,28
05007,05033,170
05007,05039,32
05007,05041,18
05007,05045,20
05007,05047,28
05007,05051,40
05007,05069,34
05007,05071,98
05007,05079,60
05007,05087,98
05007,05119,80
05007,05125,40
05007,05131,438
05007,05139,24
05007,05141,8
05007,05143,27714
05007,05149,30
05009,05005,48
05009,05007,100
05009,05015,1216
05009,05045,176
05009,05049,60
05009,05063,4
05009,05089,356
05009,05101,388
05009,05115,38
05009,05119,98
05009,05125,52
05009,05129,36
05009,05143,134
05011,05003,210
05011,05007,16
05011,05013,50
05011,05017,12
05011,05025,124
05011,05039,338
05011,05041,22
05011,05043,850
05011,05053,48
05011,05069,224
05011,05103,26
05011,05115,26
05011,05119,30
05011,05139,116
05013,05011,46
05013,05025,12
05013,05039,846
05013,05041,6
05013,05051,18
05013,05053,6
05013,05059,2
05013,05069,72
05013,05103,1132
05013,05119,20
05013,05123,18
05013,05139,508
05015,05005,8
05015,05007,356
05015,05009,1354
05015,05031,74
05015,05045,8
05015,05087,158
05015,05101,6
05015,05119,142
05015,05125,124
05015,05137,32
05015,05143,330
05017,05003,190
05017,05041,750
05017,05043,202
05017,05069,16
05017,05079,30
05017,05119,14
05019,05007,10
05019,05013,12
05019,05031,2
05019,05035,20
05019,05039,80
05019,05045,20
05019,05051,948
05019,05053,88
05019,05057,314
05019,05059,770
05019,05061,72
05019,05063,6
05019,05069,26
05019,05085,28
05019,05097,26
05019,05099,430
05019,05103,134
05019,05109,864
05019,05111,12
05019,05113,96
05019,05119,686
05019,05123,38
05019,05125,594
05019,05139,24
05019,05143,12
05021,05031,344
05021,05055,2192
05021,05075,148
05021,05093,156
05021,05095,24
05021,05117,40
05021,05119,22
05021,05121,256
05023,05007,100
05023,05029,48
05023,05031,20
05023,05037,80
05023,05045,806
05023,05049,4
05023,05051,72
05023,05063,794
05023,05065,72
05023,05067,14
05023,05069,60
05023,05071,8
05023,05085,82
05023,05091,4
05023,05107,8
05023,05111,50
05023,05119,774
05023,05125,60
05023,05131,62
05023,05137,44
05023,05141,348
05023,05145,1354
05023,05147,18
05025,05003,32
05025,05011,542
05025,05013,44
05025,05019,20
05025,05027,10
05025,05039,744
05025,05041,42
05025,05043,162
05025,05051,6
05025,05053,72
05025,05059,8
05025,05069,2526
05025,05079,126
05025,05103,24
05025,05119,198
05025,05125,6
05025,05139,6
05027,05013,24
05027,05019,38
05027,05031,26
05027,05033,12
05027,05045,22
05027,05057,178
05027,05073,424
05027,05081,6
05027,05091,30
05027,05099,60
05027,05103,334
05027,05119,60
05027,05131,14
05027,05139,1098
05027,05145,26
05029,05023,54
05029,05041,10
05029,05045,2964
05029,05051,24
05029,05059,12
05029,05071,16
05029,05085,22
05029,05105,120
05029,05115,956
05029,05119,2010
05029,05131,34
05029,05141,512
05029,05145,14
05029,05149,34
05031,05021,198
05031,05035,328
05031,05037,406
05031,05045,46
05031,05055,2630
05031,05063,58
05031,05067,330
05031,05075,286
05031,05091,12
05031,05093,1900
05031,05095,26
05031,05111,1868
05031,05119,270
05031,05121,130
05031,05123,24
05031,05131,4
05031,05135,144
05031,05145,64
05031,05147,20
05033,05007,522
05033,05023,44
05033,05045,8
05033,05047,616
05033,05051,56
05033,05055,30
05033,05059,32
05033,05065,46
05033,05071,110
05033,05083,62
05033,05115,42
05033,05119,180
05033,05131,22282
05033,05143,808
05033,05145,32
05035,05001,6
05035,05031,212
05035,05037,372
05035,05055,28
05035,05077,120
05035,05089,4
05035,05093,492
05035,05107,64
05035,05111,124
05035,05119,48
05035,05123,828
05035,05143,40
05035,05145,42
05037,05031,398
05037,05035,582
05037,05055,20
05037,05063,6
05037,05067,82
05037,05077,48
05037,05095,96
05037,05111,278
05037,05119,48
05037,05123,1878
05037,05145,4
05037,05147,118
05039,05003,20
05039,05011,98
05039,05013,124
05039,05017,18
05039,05019,286
05039,05025,136
05039,05027,28
05039,05033,20
05039,05043,54
05039,05045,22
05039,05051,10
05039,05053,364
05039,05059,254
05039,05069,176
05039,05103,584
05039,05119,98
05039,05125,48
05039,05139,70
05041,05001,220
05041,05003,14
05041,05007,14
05041,05017,368
05041,05029,18
05041,05043,302
05041,05055,10
05041,05057,10
05041,05069,362
05041,05079,400
05041,05085,4
05041,05107,8
05041,05119,24
05043,05001,10
05043,05003,336
05043,05011,748
05043,05013,20
05043,05017,382
05043,05025,30
05043,05039,16
05043,05041,1306
05043,05069,450
05043,05079,576
05043,05085,50
05043,05119,234
05043,05139,228
05045,05005,58
05045,05007,12
05045,05019,18
05045,05023,828
05045,05025,20
05045,05029,1408
05045,05031,92
05045,05033,58
05045,05035,20
05045,05037,24
05045,05039,2
05045,05051,54
05045,05063,92
05045,05069,122
05045,05071,24
05045,05075,4
05045,05079,8
05045,05085,1072
05045,05087,14
05045,05093,26
05045,05103,18
05045,05105,432
05045,05115,434
05045,05119,26768
05045,05125,550
05045,05131,42
05045,05141,572
05045,05143,60
05045,05145,896
