ori,dest,amount
46003,19193,22
46003,27133,4
46003,31015,4
46003,38017,4
46003,38035,2
46003,46005,12
46003,46015,82
46003,46023,50
46003,46035,448
46003,46043,160
46003,46055,2
46003,46067,6
46003,46073,28
46003,46085,2
46003,46099,26
46003,46101,4
46003,46103,8
46003,46109,2
46003,46111,42
46003,46135,4
46003,48201,2
46003,55117,2
46005,16027,4
46005,17031,22
46005,20009,42
46005,27023,12
46005,27113,2
46005,40049,2
46005,46003,28
46005,46011,30
46005,46013,46
46005,46015,4
46005,46019,2
46005,46025,252
46005,46035,6
46005,46037,2
46005,46059,140
46005,46065,36
46005,46069,2
46005,46073,634
46005,46077,274
46005,46097,52
46005,46099,44
46005,46103,32
46005,46111,26
46005,46115,158
46005,46127,14
46005,48201,12
46007,31031,10
46007,38085,14
46007,46027,8
46007,46033,12
46007,46071,10
46007,46113,396
46007,46103,24
46007,46121,46
46007,53005,14
46009,08031,4
46009,19141,4
46009,19167,2
46009,19193,14
46009,31027,14
46009,31107,28
46009,31109,12
46009,46013,10
46009,46023,282
46009,46027,24
46009,46035,68
46009,46043,34
46009,46067,160
46009,46093,6
46009,46099,44
46009,46125,6
46009,46135,1248
46011,09007,32
46011,11001,52
46011,17201,8
46011,19063,10
46011,19119,20
46011,19129,10
46011,19153,12
46011,19167,12
46011,27015,64
46011,27047,12
46011,27053,54
46011,27073,14
46011,27079,26
46011,27081,84
46011,27083,66
46011,27105,10
46011,27117,46
46011,27127,16
46011,27133,32
46011,27139,12
46011,27147,14
46011,27149,8
46011,27165,12
46011,27169,32
46011,29081,12
46011,31027,8
46011,31055,2
46011,31155,96
46011,32003,18
46011,42029,4
46011,46005,24
46011,46009,14
46011,46013,52
46011,46015,10
46011,46019,14
46011,46025,14
46011,46027,118
46011,46029,422
46011,46035,8
46011,46037,42
46011,46039,214
46011,46051,20
46011,46057,140
46011,46059,6
46011,46061,8
46011,46065,46
46011,46067,30
46011,46077,250
46011,46079,158
46011,46083,146
46011,46087,44
46011,46091,8
46011,46097,28
46011,46099,1128
46011,46101,244
46011,46103,16
46011,46123,28
46011,46125,14
46011,46129,10
46011,46135,10
46011,49035,38
46011,56025,24
46013,02170,24
46013,12113,16
46013,30083,22
46013,38017,32
46013,38021,164
46013,38035,12
46013,38101,20
46013,46005,32
46013,46027,6
46013,46031,12
46013,46033,8
46013,46035,12
46013,46037,214
46013,46045,178
46013,46049,52
46013,46065,18
46013,46081,22
46013,46089,72
46013,46091,174
46013,46093,8
46013,46099,6
46013,46113,18
46013,46109,18
46013,46115,350
46013,51093,60
46015,27053,6
46015,27105,20
46015,46003,68
46015,46013,8
46015,46017,224
46015,46023,30
46015,46035,58
46015,46065,32
46015,46069,4
46015,46073,18
46015,46085,382
46015,46099,14
46015,56027,6
46017,06037,6
46017,31169,4
46017,46015,98
46017,46059,16
46017,46069,102
46017,46085,114
46017,46099,16
46017,46113,14
46017,46117,14
46019,13135,14
46019,19193,34
46019,27063,10
46019,30011,8
46019,30075,6
46019,30111,76
46019,38025,64
46019,38061,124
46019,38089,38
46019,42081,26
46019,46063,44
46019,46081,2192
46019,46093,670
46019,46099,22
46019,46103,214
46019,46105,50
46019,46119,12
46019,56005,254
46019,56011,256
46019,56037,40
46021,38015,10
46021,38029,44
46021,38051,56
46021,38061,10
46021,38089,2
46021,46013,14
46021,46031,16
46021,46089,100
46021,46129,204
46023,17031,6
46023,17089,8
46023,19193,8
46023,31015,18
46023,31079,8
46023,31107,4
46023,38015,8
46023,46005,6
46023,46009,76
46023,46015,34
46023,46033,2
46023,46035,8
46023,46043,168
46023,46053,14
46023,46065,12
46023,46099,46
46023,46123,12
46023,46135,94
46023,48201,16
46023,49035,4
46025,38071,16
46025,46005,28
46025,46011,60
46025,46013,26
46025,46029,452
46025,46033,18
46025,46035,2
46025,46039,4
46025,46057,112
46025,46069,6
46025,46077,76
46025,46099,20
46025,46103,4
46025,46115,40
46027,06023,10
46027,19041,10
46027,19061,44
46027,19119,8
46027,19133,8
46027,19149,34
46027,19153,50
46027,19167,80
46027,19193,264
46027,24510,6
46027,27047,86
46027,27085,10
46027,27105,38
46027,27133,26
46027,31027,22
46027,31043,32
46027,31179,30
46027,34027,6
46027,38017,14
46027,46009,40
46027,46035,130
46027,46079,22
46027,46083,166
46027,46099,730
46027,46103,30
46027,46125,328
46027,46127,470
46027,46135,666
46027,56005,28
46029,19153,10
46029,27013,68
46029,27063,10
46029,27067,2
46029,27073,60
46029,27137,10
46029,27145,54
46029,27155,18
46029,38015,22
46029,38017,28
46029,38021,10
46029,46005,100
46029,46011,240
46029,46013,96
46029,46015,10
46029,46019,14
46029,46025,162
46029,46037,78
46029,46039,322
46029,46051,94
46029,46057,546
46029,46077,8
46029,46083,60
46029,46089,24
46029,46091,12
46029,46099,144
46029,46109,140
46029,46115,72
46029,46135,4
46031,08031,6
46031,27053,2
46031,38001,6
46031,38061,4
46031,38085,364
46031,38089,10
46031,46041,98
46031,46103,8
46031,46105,90
46031,46129,110
46031,46137,4
46031,51069,6
46033,06037,2
46033,08031,72
46033,31013,12
46033,31045,14
46033,46005,6
46033,46011,10
46033,46047,606
46033,46081,24
46033,46093,32
46033,46113,208
46033,46103,1466
46033,46121,4
46033,56005,202
46033,56045,170
46035,06001,8
46035,19149,4
46035,21111,16
46035,27125,4
46035,38017,6
46035,38021,26
46035,46003,374
46035,46005,350
46035,46007,76
46035,46009,16
46035,46011,6
46035,46015,46
46035,46023,34
46035,46043,72
46035,46053,18
46035,46061,142
46035,46065,10
46035,46067,162
46035,46073,8
46035,46079,26
46035,46083,36
46035,46087,46
46035,46093,22
46035,46097,92
46035,46099,386
46035,46103,14
46035,46111,96
46035,46123,32
46035,48201,22
46035,55079,16
46037,27053,8
46037,27123,4
46037,38035,10
46037,38081,4
46037,38085,16
46037,46011,6
46037,46013,352
46037,46025,18
46037,46029,298
46037,46049,54
46037,46051,36
46037,46065,8
46037,46091,100
46037,46099,20
46037,46109,68
46037,46115,20
46039,19133,6
46039,20103,2
46039,20155,4
46039,27023,4
46039,27063,4
46039,27073,6
46039,27081,70
46039,27083,68
46039,27173,70
46039,29189,2
46039,38017,6
46039,38061,2
46039,38089,12
46039,46011,466
46039,46029,570
46039,46033,4
46039,46045,2
46039,46051,48
46039,46057,112
46039,46065,4
46039,46079,8
46039,46099,8
46039,46101,12
46041,19113,8
46041,38001,14
46041,38053,4
46041,38085,22
46041,38089,16
46041,38105,8
46041,46031,4
46041,46065,4
46041,46093,26
46041,46103,20
46041,46107,26
46041,46129,36
46041,46137,160
46041,56005,4
46043,27115,12
46043,46003,14
46043,46007,4
46043,46009,10
46043,46015,4
