"ori","dest","amount"
"01001","01013",12
"01001","01021",1008
"01001","01043",54
"01001","01047",592
"01001","01051",4372
"01001","01053",28
"01001","01073",542
"01001","01077",16
"01001","01081",158
"01001","01085",194
"01001","01087",62
"01001","01089",34
"01001","01097",98
"01001","01101",22612
"01001","01115",16
"01001","01117",192
"01001","01121",14
"01001","01123",40
"01001","01125",20
"01001","01131",66
"01001","12005",34
"01001","12057",10
"01001","13201",142
"01001","13215",44
"01001","13285",30
"01001","22017",18
"01001","22043",46
"01001","22057",22
"01001","27037",14
"01001","28049",10
"01001","29510",22
"01001","47037",14
"01001","47093",34
"01003","01013",18
"01003","01015",58
"01003","01025",50
"01003","01033",16
"01003","01035",42
"01003","01041",22
"01003","01047",64
"01003","01049",30
"01003","01053",1496
"01003","01073",242
"01003","01077",64
"01003","01081",48
"01003","01083",78
"01003","01089",50
"01003","01097",32700
"01003","01099",72
"01003","01101",354
"01003","01109",64
"01003","01117",8
"01003","01125",192
"01003","01129",256
"01003","02185",24
"01003","04013",60
"01003","05143",8
"01003","06037",20
"01003","06071",46
"01003","06073",162
"01003","11001",334
"01003","12031",40
"01003","12033",6386
"01003","12057",44
"01003","12086",28
"01003","12091",222
"01003","12095",26
"01003","12113",204
"01003","13063",36
"01003","13077",6
"01003","13089",222
"01003","13121",32
"01003","13135",54
"01003","13153",52
"01003","13215",30
"01003","13295",70
"01003","17019",32
"01003","17157",22
"01003","18039",96
"01003","19113",50
"01003","20091",42
"01003","22017",20
"01003","22019",104
"01003","22033",24
"01003","22051",228
"01003","22057",58
"01003","22071",80
"01003","22109",216
"01003","23017",66
"01003","24031",18
"01003","24041",10
"01003","25017",210
"01003","27053",40
"01003","28045",8
"01003","28047",278
"01003","28059",842
"01003","28061",62
"01003","28065",22
"01003","28067",52
"01003","28073",26
"01003","28087",26
"01003","28105",18
"01003","28121",38
"01003","34035",34
"01003","36029",2
"01003","36061",16
"01003","36065",20
"01003","36085",64
"01003","39153",6
"01003","40143",18
"01003","42125",68
"01003","47037",4
"01003","47065",54
"01003","47157",16
"01003","47189",4
"01003","48005",12
"01003","48029",8
"01003","48113",28
"01003","48157",4
"01003","48167",40
"01003","48201",410
"01003","48303",8
"01003","48439",12
"01003","51153",32
"01005","01011",284
"01005","01017",108
"01005","01031",20
"01005","01041",40
"01005","01045",830
"01005","01067",464
"01005","01069",276
"01005","01073",38
"01005","01081",120
"01005","01087",2
"01005","01089",10
"01005","01097",8
"01005","01101",198
"01005","01109",358
"01005","01113",938
"01005","01125",10
"01005","02020",30
"01005","13053",24
"01005","13061",84
"01005","13099",6
"01005","13121",10
"01005","13177",42
"01005","13215",260
"01005","13239",232
"01005","13243",150
"01005","13259",106
"01005","48201",20
"01007","01021",236
"01007","01065",8
"01007","01071",4
"01007","01073",3508
"01007","01087",28
"01007","01089",8
"01007","01105",4
"01007","01117",1258
"01007","01121",58
"01007","01125",4176
"01007","06037",26
"01007","12091",46
"01007","13051",12
"01007","24033",10
"01007","28075",14
"01007","48439",12
"01009","01007",40
"01009","01015",68
"01009","01019",50
"01009","01043",2824
"01009","01049",52
"01009","01055",512
"01009","01059",22
"01009","01071",74
"01009","01073",20738
"01009","01077",8
"01009","01083",6
"01009","01089",540
"01009","01095",1580
"01009","01097",10
"01009","01101",124
"01009","01103",220
"01009","01115",522
"01009","01117",656
"01009","01121",88
"01009","01123",30
"01009","01125",38
"01009","01127",398
"01009","05143",24
"01009","08093",20
"01009","13097",6
"01009","13153",4
"01009","13233",2
"01009","13299",76
"01009","22033",18
"01009","24043",2
"01009","28069",6
"01009","37119",4
"01009","42003",6
"01009","42091",36
"01009","47037",18
"01009","47157",36
"01009","48453",32
"01009","49035",14
"01011","01005",440
"01011","01051",26
"01011","01073",20
"01011","01081",154
"01011","01087",170
"01011","01101",1262
"01011","01109",540
"01011","01113",116
"01011","13215",46
"01011","28075",28
"01013","01001",44
"01013","01003",24
"01013","01011",16
"01013","01031",28
"01013","01035",418
"01013","01039",400
"01013","01041",518
"01013","01043",6
"01013","01047",14
"01013","01051",18
"01013","01053",80
"01013","01061",12
"01013","01069",24
"01013","01073",84
"01013","01081",36
"01013","01085",422
"01013","01099",54
"01013","01101",1466
"01013","01109",220
"01013","01113",8
"01013","01117",10
"01013","01123",12
"01013","01131",86
"01013","12033",40
"01013","22097",16
"01013","28045",8
"01013","34003",14
"01013","37099",42
"01013","38017",16
"01013","45045",128
"01013","48073",16
"01013","48487",28
"01013","51025",8
"01015","01001",14
"01015","01003",20
"01015","01019",432
"01015","01021",102
"01015","01027",108
"01015","01029",822
"01015","01043",78
"01015","01049",82
"01015","01055",4054
"01015","01071",12
"01015","01073",2002
"01015","01081",182
"01015","01085",48
"01015","01089",254
"01015","01095",118
"01015","01097",34
"01015","01101",160
"01015","01103",20
"01015","01105",18
"01015","01111",218
"01015","01115",1270
"01015","01117",136
"01015","01121",6630
"01015","01123",24
"01015","01125",36
"01015","01127",8
"01015","12011",20
"01015","12033",74
"01015","12061",12
"01015","12087",56
"01015","13015",56
"01015","13021",32
"01015","13045",52
"01015","13053",30
"01015","13063",30
"01015","13067",186
"01015","13089",58
"01015","13097",90
"01015","13115",312
"01015","13121",86
"01015","13133",40
"01015","13135",28
"01015","13143",90
"01015","13153",80
"01015","13175",36
"01015","13179",70
"01015","13223",28
"01015","13233",276
"01015","13313",82
"01015","19153",62
"01015","22017",28
"01015","22051",58
"01015","22071",24
"01015","25025",30
"01015","28049",38
"01015","30111",62
"01015","37081",6
"01015","47023",14
"01015","47149",32
"01015","47157",226
"01015","48029",20
"01015","48309",6
"01015","51510",14
"01017","01015",70
"01017","01043",34
"01017","01049",20
"01017","01069",20
"01017","01073",62
"01017","01081",6292
"01017","01087",50
"01017","01097",22
"01017","01101",46
"01017","01111",754
"01017","01113",316
"01017","01121",20
"01017","01123",356
"01017","05007",44
"01017","06109",18
"01017","12031",32
"01017","13067",32
"01017","13077",30
"01017","13089",46
"01017","13113",58
"01017","13121",94
"01017","13145",128
"01017","13157",50
"01017","13199",22
"01017","13215",252
"01017","13285",7354
"01017","22017",14
"01017","39095",10
"01017","47051",26
"01019","01007",58
"01019","01015",1368
"01019","01039",46
"01019","01049",1716
"01019","01055",1256
"01019","01071",62
"01019","01073",70
"01019","01095",128
"01019","01115",82
"01019","01121",62
"01019","13015",220
"01019","13045",50
"01019","13055",700
"01019","13067",348
"01019","13083",18
"01019","13097",18
"01019","13115",2920
"01019","13121",34
"01019","13129",248
"01019","13143",36
"01019","13171",16
"01019","13233",256
"01019","13295",158
"01019","13313",8
"01019","22093",36
"01019","38105",6
"01019","39165",6
"01019","45045",16
"01019","47037",8
"01019","47093",50
"01019","47157",2
"01019","47177",16
"01019","55011",28
"01019","55087",40
"01021","01001",618
"01021","01007",240
"01021","01011",8
"01021","01047",182
"01021","01051",116
"01021","01069",6
"01021","01073",3728
"01021","01089",18
"01021","01097",10
"01021","01101",2806
"01021","01109",32
"01021","01113",92
"01021","01115",20
"01021","01117",8722
"01021","01119",58
"01021","01121",32
"01021","01125",470
"01021","05033",14
"01021","06083",6
"01021","12031",22
"01021","13045",158
"01021","13089",132
"01021","13285",20
"01021","21093",46
"01021","21147",6
"01021","22101",94
"01021","28031",10
"01021","28045",114
"01021","28049",56
"01021","37193",44
"01021","48167",20
"01023","01003",4
"01023","01007",22
"01023","01025",348
"01023","01047",36
"01023","01063",8
"01023","01073",40
"01023","01091",92
"01023","01097",64
"01023","01101",14
"01023","01107",18
"01023","01119",294
"01023","01125",24
"01023","01129",356
"01023","01131",4
"01023","17037",18
"01023","22033",34
"01023","22045",24
"01023","28023",88
"01023","28059",16
"01023","28065",28
"01023","28067",32
"01023","28069",64
"01023","28071",2
"01023","28075",1032
"01023","28085",22
"01023","28097",4
"01023","28105",8
"01023","28121",44
"01023","28123",86
"01023","28131",4
"01023","28153",218
"01023","36115",4
"01023","39035",6
"01023","47037",2
"01023","48135",6
"01023","48201",190
"01023","48283",14
"01023","48361",66
"01025","01003",50
"01025","01007",16
