ori,dest,amount
55001,55007,10
55001,55009,24
55001,55019,18
55001,55021,1046
55001,55025,520
55001,55027,26
55001,55035,18
55001,55039,32
55001,55045,6
55001,55047,14
55001,55049,12
55001,55053,10
55001,55055,38
55001,55057,760
55001,55059,70
55001,55063,50
55001,55069,2
55001,55073,40
55001,55077,568
55001,55079,38
55001,55081,134
55001,55087,10
55001,55093,4
55001,55097,372
55001,55101,12
55001,55107,14
55001,55111,2426
55001,55121,8
55001,55123,14
55001,55131,18
55001,55133,8
55001,55135,14
55001,55137,224
55001,55139,36
55001,55141,1546
55003,55007,1094
55003,55013,6
55003,55017,22
55003,55019,2
55003,55025,20
55003,55031,102
55003,55051,52
55003,55055,4
55003,55067,4
55003,55069,2
55003,55085,8
55003,55095,10
55003,55097,4
55003,55099,1164
55003,55105,2
55003,55107,6
55003,55111,12
55003,55113,56
55003,55119,4
55003,55125,58
55003,55127,24
55003,55129,10
55003,55139,4
55003,55141,22
55005,55003,22
55005,55007,10
55005,55009,14
55005,55013,198
55005,55017,808
55005,55019,32
55005,55025,10
55005,55031,62
55005,55033,512
55005,55035,606
55005,55039,6
55005,55049,4
55005,55063,56
55005,55071,4
55005,55073,20
55005,55078,18
55005,55079,50
55005,55081,2
55005,55085,16
55005,55093,22
55005,55095,1574
55005,55097,12
55005,55107,382
55005,55109,388
55005,55111,28
55005,55113,100
55005,55119,14
55005,55121,58
55005,55123,4
55005,55129,1354
55005,55131,10
55005,55133,8
55005,55139,4
55005,55141,12
55007,55003,3644
55007,55005,6
55007,55017,6
55007,55025,18
55007,55031,808
55007,55033,24
55007,55035,14
55007,55039,12
55007,55063,8
55007,55073,2
55007,55079,2
55007,55095,10
55007,55099,8
55007,55109,2
55007,55113,416
55007,55125,18
55007,55129,74
55007,55133,4
55007,55139,4
55007,55141,10
55009,55003,10
55009,55011,10
55009,55015,1670
55009,55025,184
55009,55027,24
55009,55029,750
55009,55033,32
55009,55035,72
55009,55039,58
55009,55043,60
55009,55047,30
55009,55055,18
55009,55057,6
55009,55059,34
55009,55061,2492
55009,55063,16
55009,55071,2256
55009,55073,70
55009,55075,658
55009,55077,238
55009,55078,66
55009,55079,316
55009,55081,26
55009,55083,940
55009,55085,18
55009,55087,10056
55009,55089,30
55009,55093,24
55009,55097,22
55009,55105,110
55009,55115,868
55009,55117,614
55009,55131,66
55009,55133,154
55009,55135,108
55009,55137,18
55009,55139,2398
55011,55005,12
55011,55009,2
55011,55015,2
55011,55017,134
55011,55031,4
55011,55033,148
55011,55035,1132
55011,55039,2
55011,55053,12
55011,55059,8
55011,55063,182
55011,55073,8
55011,55081,8
55011,55085,4
55011,55091,636
55011,55093,64
55011,55101,8
55011,55109,54
55011,55111,40
55011,55121,1638
55011,55131,4
55011,55141,2
55013,55005,270
55013,55017,2
55013,55031,56
55013,55033,12
55013,55053,6
55013,55063,2
55013,55073,4
55013,55093,4
55013,55095,1152
55013,55097,4
55013,55107,4
55013,55109,30
55013,55111,8
55013,55113,112
55013,55117,2
55013,55129,906
55013,55139,2
55013,55141,8
55015,55009,2518
55015,55025,46
55015,55027,34
55015,55033,16
55015,55039,990
55015,55047,10
55015,55063,166
55015,55071,2272
55015,55075,28
55015,55078,8
55015,55079,218
55015,55083,10
55015,55085,6
55015,55087,17160
55015,55089,38
55015,55097,56
55015,55099,4
55015,55101,78
55015,55115,92
55015,55117,1726
55015,55131,24
